tanggal;kode;open_price;high_price;low_price;close_price;volume
2022-03-21;adro;926.1830677705652;936.3237582936006;912.6621470731847;919.422607421875;123851100
2022-03-22;adro;926.1833347865513;966.7461085728236;926.1833347865513;946.4647216796875;124250600
2022-03-23;adro;956.6054151262555;973.5065708705357;929.5635659354073;946.4647216796875;122391700
2022-03-24;adro;959.9856067233616;980.2669927808973;949.8449136945936;973.5065307617188;109233400
2022-03-25;adro;973.5063580452127;973.5063580452127;949.8447451760583;953.2249755859375;89246500
2022-03-28;adro;953.2249888173351;973.5063715581294;953.2249888173351;966.7459106445312;81634700
2022-03-29;adro;973.5065151173285;973.5065151173285;932.9437436541065;936.323974609375;105824700
2022-03-30;adro;936.3238065349523;946.4644975804572;899.1412727014343;905.9017333984375;98915700
2022-03-31;adro;909.2821655273436;932.9437832176463;905.9019344287291;909.2821655273438;77639300
2022-04-01;adro;909.2820208675072;956.6052487193477;909.2820208675072;949.8447875976562;104011500
2022-04-04;adro;949.8447875976562;970.1261709627307;939.704095915119;949.8447875976562;59731800
2022-04-05;adro;963.3656951904297;1020.8296138509114;956.6052341715495;1014.0691528320312;193461300
2022-04-06;adro;1017.4493308797333;1041.1109432257736;1014.0691005445847;1037.730712890625;172811700
2022-04-07;adro;1034.3503225858094;1037.7305523981813;1007.3084840868339;1030.9700927734375;93814700
2022-04-08;adro;1027.5899488231803;1078.2934002453767;1024.2097187283673;1068.1527099609375;177072400
2022-04-11;adro;1068.15279471039;1085.0539465254278;1047.8714125323447;1061.392333984375;131718000
2022-04-12;adro;1061.392333984375;1064.7725643473825;1034.3504910803144;1061.392333984375;132026200
2022-04-13;adro;1078.293510232043;1132.377197265625;1078.293510232043;1132.377197265625;226429500
2022-04-14;adro;1132.3773691229228;1132.3773691229228;1108.7157524546826;1118.8564453125;112905400
2022-04-18;adro;1118.8564089511303;1132.377332322141;1095.1947930518618;1112.095947265625;95118100
2022-04-19;adro;1112.0959106818616;1125.616833608085;1098.5749877556384;1105.33544921875;95535700
2022-04-20;adro;1118.8562971652477;1139.1376801954336;1068.1528395897833;1091.814453125;134836900
2022-04-21;adro;1105.33544921875;1169.5598331183105;1101.9552184871943;1105.33544921875;187585800
2022-04-22;adro;1098.5750002281688;1105.3354617680345;1068.1529232987734;1085.0540771484375;107246100
2022-04-25;adro;1074.913384838639;1088.4343079183702;1047.8715386791764;1085.0540771484375;107045500
2022-04-26;adro;1088.4340905298159;1098.5747808142553;1041.1108692024327;1068.1527099609375;152153700
2022-04-27;adro;1058.0122794262618;1091.8145886731072;1051.2518175768928;1071.533203125;94218600
2022-04-28;adro;1085.053953250725;1139.1376393940634;1081.6737228667664;1128.9969482421875;182939300
2022-05-09;adro;1142.5177720468255;1152.6584623312647;1058.012019676498;1068.1527099609375;247786700
2022-05-10;adro;1037.730750025283;1061.392363218042;1007.3086759203073;1044.4912109375;198152000
2022-05-11;adro;1044.4912004743303;1091.8144263857887;1044.4912004743303;1064.7725830078125;134040900
2022-05-12;adro;1064.7725830078125;1088.4341959635417;1041.1109700520833;1064.7725830078125;233115300
2022-05-13;adro;1085.0540771484375;1098.5750002281688;1054.632000219042;1085.0540771484375;168962700
2022-05-17;adro;1113.833352793818;1156.2650995669158;1106.7613949983017;1138.585205078125;148618000
2022-05-18;adro;1149.1932931738588;1156.2652519010826;1096.1536027196807;1127.9774169921875;128274700
2022-05-19;adro;1110.2975132197046;1124.4414305855607;1078.4736991465284;1099.6895751953125;166293000
2022-05-20;adro;1106.7615505806268;1195.161035451284;1106.7615505806268;1170.4091796875;205840300
2022-05-23;adro;1184.5529533265128;1184.5529533265128;1099.6894581628223;1113.8333740234375;177893100
2022-05-24;adro;1120.9052474975585;1142.1211196899415;1106.7613327026368;1131.51318359375;112162400
2022-05-25;adro;1117.3693154611894;1117.3693154611894;1085.545505843624;1096.1534423828125;96617800
2022-05-27;adro;1117.3692626953125;1127.9771987335591;1106.7613266570659;1117.3692626953125;84743400
2022-05-30;adro;1120.9055415134803;1124.4415211397059;1071.4018267463234;1082.009765625;146193800
2022-05-31;adro;1106.7614305595375;1163.3370947414946;1096.1534935254206;1156.26513671875;286452200
2022-06-02;adro;1152.7291050816443;1184.5529147311374;1131.513231981982;1177.48095703125;185774500
2022-06-03;adro;1177.480952869762;1262.3444449684835;1159.8010586825283;1244.66455078125;258029000
2022-06-06;adro;1244.664728594653;1269.4165839928423;1216.3768938538656;1223.4488525390625;128510900
2022-06-07;adro;1255.272653240047;1311.8483221184717;1248.200694630244;1290.6324462890625;225695700
2022-06-08;adro;1290.6322603251979;1301.2401967114324;1269.416387552729;1283.560302734375;118444400
2022-06-09;adro;1283.5603291829427;1304.7762023925782;1272.952392578125;1272.952392578125;106573000
2022-06-10;adro;1258.8084214991802;1269.4163576354092;1212.8406982421875;1212.8406982421875;151998900
2022-06-13;adro;1173.9451487191418;1173.9451487191418;1127.9774169921875;1127.9774169921875;202113000
2022-06-14;adro;1120.9053157502155;1156.265104890601;1099.6894422659843;1152.7291259765625;219656500
2022-06-15;adro;1152.7292914139598;1156.265270835475;1074.937744140625;1074.937744140625;247557600
2022-06-16;adro;1089.0817248774508;1120.9055415134803;1074.937806372549;1082.009765625;243268700
2022-06-17;adro;1067.8656490796234;1071.4016280500857;1014.8259645226884;1032.505859375;229958000
2022-06-20;adro;1032.5060126919795;1043.113951178541;1011.2901357188566;1036.0419921875;115058200
2022-06-21;adro;1060.7937954439976;1085.5456506710243;1050.1858574895575;1071.4017333984375;189107600
2022-06-22;adro;1071.4017333984375;1092.6176093073175;1053.7218368077042;1071.4017333984375;201749700
2022-06-23;adro;1071.401567731585;1071.401567731585;1021.8978649321057;1039.5777587890625;145531100
2022-06-24;adro;1050.185791015625;1067.8656864872687;1043.1138328269676;1050.185791015625;103050300
2022-06-27;adro;1050.1856367781356;1060.7935725031673;1018.3618296030406;1046.649658203125;89273500
2022-06-28;adro;1057.2578087758209;1060.7937880693855;1036.0419330144332;1043.1138916015625;74114300
2022-06-29;adro;1028.9699049893156;1050.1857793189922;1014.8259887695312;1014.8259887695312;69188200
2022-06-30;adro;993.610083306586;1032.5058516922531;993.610083306586;1011.2899780273438;109157800
2022-07-01;adro;1011.2898950015798;1028.969788270838;958.2502151938046;961.7861938476562;105599200
2022-07-04;adro;961.7864113267149;1000.6821853141923;940.5705346062726;979.46630859375;117849700
2022-07-05;adro;1000.6821636623807;1039.5779368082683;997.1461842854818;1018.362060546875;135385800
2022-07-06;adro;1007.7541442210064;1007.7541442210064;961.7864113267149;979.46630859375;82120100
2022-07-07;adro;979.46630859375;993.6102264073783;961.7864113267149;979.46630859375;70438600
2022-07-08;adro;1007.7539644814212;1018.3619009496467;997.1460280131957;1000.6820068359375;90522000
2022-07-11;adro;1004.2179856586794;1014.8259221269049;990.074070367712;1000.6820068359375;52681800
2022-07-12;adro;1011.2899855522261;1050.1857542273117;1004.2180276113014;1032.505859375;142532100
2022-07-13;adro;1043.113951178541;1057.2578691606227;1025.4340537009384;1036.0419921875;99629700
2022-07-14;adro;1028.970033196459;1046.6499306740614;1018.3620947098975;1036.0419921875;97805600
2022-07-15;adro;1021.8979014521061;1025.4338803498642;975.9301757812501;975.93017578125;98942900
2022-07-18;adro;975.9301495295699;990.0740647401434;965.3222131216398;986.5380859375;68984100
2022-07-19;adro;990.0742021980932;1046.6498708951272;975.9302850238347;1043.1138916015625;127898100
2022-07-20;adro;1053.721805799876;1071.4017018703435;1053.721805799876;1067.86572265625;99298600
2022-07-21;adro;1074.9376810844371;1078.4736602985306;1050.1858265857823;1067.86572265625;73196600
2022-07-22;adro;1074.9377127165842;1089.0816299891708;1057.257816125851;1071.4017333984375;94295700
2022-07-25;adro;1078.4735481508317;1103.225400075605;1074.9375693044356;1096.1534423828125;134979600
2022-07-26;adro;1110.2973053364813;1120.905241374728;1103.2253479776502;1117.3692626953125;83178500
2022-07-27;adro;1131.5131955030488;1166.872982862519;1124.4412380311546;1159.801025390625;130334900
2022-07-28;adro;1163.337004126572;1177.4809190703602;1149.193089182784;1159.801025390625;94451400
2022-07-29;adro;1166.8730093149038;1184.5529033954326;1142.1211576021635;1149.193115234375;85291200
2022-08-01;adro;1152.7291671525186;1191.6249365963151;1145.6572090718282;1184.552978515625;146347800
2022-08-02;adro;1184.5530537539307;1188.089033018868;1124.44140625;1124.44140625;112428800
2022-08-03;adro;1127.9774269495847;1177.4811384771526;1124.4414475547583;1170.4091796875;114505400
2022-08-04;adro;1170.40916935553;1170.40916935553;1117.3694789013518;1127.9774169921875;109420800
2022-08-05;adro;1110.2974537614816;1120.9053912178015;1096.1535371530551;1106.761474609375;124725800
2022-08-08;adro;1092.6175220043629;1106.761438146814;1071.4016477906857;1089.08154296875;94030900
2022-08-09;adro;1099.6895163051618;1120.9053912178015;1096.1535371530551;1106.761474609375;86949000
2022-08-10;adro;1113.833342145203;1127.977257601015;1103.225405553344;1110.29736328125;81369800
2022-08-11;adro;1142.1212057446676;1149.1931636749753;1113.8333740234375;1113.8333740234375;127285200
2022-08-12;adro;1117.3694789013518;1135.0493757194113;1106.7615408105162;1127.9774169921875;73526600
2022-08-15;adro;1138.5851347718058;1145.6570921306368;1113.8332840158969;1117.3692626953125;53868300
2022-08-16;adro;1117.3693529885913;1127.9772898840527;1103.2254371279762;1113.8333740234375;48691000
2022-08-18;adro;1124.4412635216347;1159.8010516826923;1120.9052847055289;1149.193115234375;84704200
2022-08-19;adro;1156.2650728665865;1170.4089881310097;1145.6571364182691;1149.193115234375;73447800
2022-08-22;adro;1163.3370795355902;1166.873058500744;1110.2973950582837;1113.8333740234375;90711300
2022-08-23;adro;1120.9053557894122;1195.1609156366603;1117.3693767490672;1184.552978515625;175076900
2022-08-24;adro;1177.4809677705737;1209.3047777103188;1156.2650944774102;1205.768798828125;116927600
2022-08-25;adro;1205.768798828125;1226.9846721212884;1191.6248832993492;1205.768798828125;88737600
2022-08-26;adro;1212.8407565925127;1219.9127143569006;1198.696841063737;1205.768798828125;55022600
2022-08-29;adro;1195.161017798275;1226.984831881661;1177.4811210852827;1223.4488525390625;79496800
2022-08-30;adro;1294.1684466863082;1308.3123641364318;1248.2007149734065;1251.7366943359375;160702700
